title,price_inr,original_price_inr,description,product_url
Daliya 500gm,135.0,150.0,"Daliya 500gm
    




SKU: 1TOROTHUT03393



Share








â‚ą55.80


            â‚ą62.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
4 Days




















Price





                                â‚ą55.80
                            


                                â‚ą62.00
                            

/pc

-10%





 





Quantity













                                                                    (3
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









Taste the richness of Uttarakhand and Uttar Pradesh flavors 









Specifications









Weight: 500 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care









                Store in a cool, dry place away from direct sunlight and moisture; keep tightly sealed after use.
            





  Daliya 500gm
                
Return


Not Applicable





 Category: 

        Food & Natural Products,    

        Flour, Rice, Pulses    


Tags:

        
                    No Tags
            






 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/daliya-500gm
RAGI AATA 1 KG : KABIRDHAM CG,152.1,169.0,"Ragi Aata 1 Kg : Kabirdham CG
    




SKU: 1TOROTHCG03570



Share








â‚ą73.80


            â‚ą82.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą73.80
                            


                                â‚ą82.00
                            

/pc

-10%





 





Quantity













                                                                    (25
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









    â€˘ Functional design
â€˘ Durable build
â€˘ Easy to use
â€˘ Suitable for everyday tasks    









Specifications









Weight: 1kg 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care









                Store in a cool, dry place away from direct sunlight and moisture; keep tightly sealed after use.
            





  Ragi Aata 1 Kg : Kabirdham CG
                
Return


Not Applicable





 Category: 

        Flour, Rice, Pulses,    

        Food & Natural Products    


Tags:


                Best Selling
                ,                                 
                Organic
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/dp4sb
Chironji,126.0,140.0,"TRIBES INDIA CHHIRONGEE
    




SKU: 1TORDRYMP00451-02



Share








â‚ą702.00


            â‚ą780.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą702.00
                            


                                â‚ą780.00
                            

/1

-10%





 





Quantity













                                                                    (5
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









Product Features100% natural Chironji kernelsRich, nutty flavor suitable for Indian sweets and cookingNaturally nutritious and a source of plant-based protein and healthy fatsVersatile ingredient for kheer, halwa, ladoo, curries and dessertsCan be used as a garnish or nut substituteResealable kraft pouch helps with convenient storageTransparent viewing window lets you see the product insideSuitable for traditional and everyday culinary use 









Specifications









Weight: 250 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care









                Store in a cool, dry place away from direct sunlight and moisture; keep tightly sealed after use.
            





  TRIBES INDIA CHHIRONGEE
                
Return





View Policy





 Category: 

        Food & Natural Products,    

        Grocery & Gourmet Food    


Tags:


                #organic@
                ,                                 
                #chironji
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/chironji-4
Tribes India Herbal Tea,126.0,140.0,"Tribes India Herbal Tea
    




SKU: 1TORTEAMP00507



Share








â‚ą126.00


            â‚ą140.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą126.00
                            


                                â‚ą140.00
                            

/1

-10%





 





Quantity













                                                                    (2
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features



















Specifications









Weight: 100 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care















  Tribes India Herbal Tea
                
Return





View Policy





 Category: 

        Food & Natural Products,    

        Tea, Coffee, Beverages    


Tags:

        
                    No Tags
            






 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/tribes-india-herbal-tea
Red Rice (Bastar Food) OR :CG,152.1,169.0,"Red Rice (Bastar Food) OR :CG
    




SKU: 1TOROTHCG03259



Share








â‚ą93.60


            â‚ą104.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą93.60
                            


                                â‚ą104.00
                            

/pc

-10%





 





Quantity













                                                                    (0
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









100% Natural & Unpolished: Retains the nutrient-rich bran layer for maximum health benefits.Cultivated by Local Farmers: Sustainably grown using traditional farming techniques in Bastar.Rich in Dietary Fiber: Aids in digestion and promotes a healthy gut function.Comprehensive Health Benefits: Naturally supports heart health, blood sugar management, weight management, and strong bones due to high antioxidant levels. 









Specifications









Weight: 500 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care















  Red Rice (Bastar Food) OR :CG
                
Return





View Policy





 Category: 

        Food & Natural Products,    

        Flour, Rice, Pulses    


Tags:


                Dheki rice
                ,                                 
                hand-pounded rice
                ,                                 
                traditional rice
                ,                                 
                satvik food
                ,                                 
                Bastar rice
                ,                                 
                unpolished rice
                ,                                 
                natural white rice
                ,                                 
                Chhattisgarh rice
                ,                                 
                healthy rice
                ,                                 
                daily use rice
                ,                                 
                artisanal rice
                ,                                 
                raw rice.
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/red-rice-bastar-food-or-cg-5
Natural Tamarind - 500 g,,,"Natural Tamarind - 500 g
    




SKU: 1TOROTHTN03933



Share








ﻗﺗ135.00


            ﻗﺗ150.00
        

(10% off)









Add to wishlist






























Price





                                ﻗﺗ135.00
                            


                                ﻗﺗ150.00
                            

/500 Grams

-10%





 





Quantity













                                                                    (30
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









100% Natural


Wild & Naturally Sourced


Ethically Sourced


Collected from Coimbatore Elephant Corridor


Supports Indigenous Communities


Helps Preserve Forests & Protect Wildlife


Net Weight: 500 g


A traditional forest produce brought directly from Indigenous communities, preserving both natural resources and livelihoods. 









Specifications









Weight: 500 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care









                Store in a cool, dry place away from direct sunlight and moisture; keep tightly sealed after use.
            





  Natural Tamarind - 500 g
                
Return


Not Applicable





 Category: 

        Food & Natural Products,    

        Grocery & Gourmet Food    


Tags:


                Tamarind
                ,                                 
                Natural Tamarind
                ,                                 
                Wild Tamarind
                ,                                 
                Coimbatore
                ,                                 
                VDVK
                ,                                 
                Tribal Product
                ,                                 
                Forest Produce
                ,                                 
                Natural Food
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/natural-tamarind-500-g
Red Rice (Bastar Food) OR :CG,152.1,169.0,"Dheki Rice Jawaphool (Bastar Food) OR :CG
    




SKU: 1TOROTHCG03266



Share








â‚ą84.60


            â‚ą94.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą84.60
                            


                                â‚ą94.00
                            

/pc

-10%





 





Quantity













                                                                    (0
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









Hand-Pounded (Dheki): Processed traditionally to retain bran, natural fiber, and essential nutrients.Satvik Quality: Pure, unadulterated rice suitable for everyday meals and special traditional dishes.Regional Authenticity: Sourced and packaged in Bastar, Chhattisgarh, supporting local agricultural practices. 









Specifications









Weight: 500 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care















  Dheki Rice Jawaphool (Bastar Food) OR :CG
                
Return





View Policy





 Category: 

        Food & Natural Products,    

        Flour, Rice, Pulses    


Tags:


                Dheki rice
                ,                                 
                hand-pounded rice
                ,                                 
                traditional rice
                ,                                 
                satvik food
                ,                                 
                Bastar rice
                ,                                 
                unpolished rice
                ,                                 
                natural white rice
                ,                                 
                Chhattisgarh rice
                ,                                 
                healthy rice
                ,                                 
                daily use rice
                ,                                 
                artisanal rice
                ,                                 
                raw rice.
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/red-rice-bastar-food-or-cg-g58jn-uyo1l-mk6wm-3
Tribes India Mashroom Powder,126.0,140.0,"Tribes India Mashroom Powder
    




SKU: 1TOROTHMP03938



Share








â‚ą100.80


            â‚ą112.00
        

(10% off)









Add to wishlist






























Price





                                â‚ą100.80
                            


                                â‚ą112.00
                            

/1

-10%





 





Quantity













                                                                    (5
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









Mushroom powder from the Seoni and Balaghat forest belt in Madhya Pradesh is derived from rich local macrofungi, including indigenous wild varieties like Pihiri and cultivated oyster or button mushrooms. Dried and ground into a fine earthy supplement, it is valued for high protein content, antioxidants, and traditional immunity benefits. 









Specifications









Weight: 100 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care









                Store in a cool, dry place away from direct sunlight and moisture; keep tightly sealed after use.
            





  Tribes India Mashroom Powder
                
Return





View Policy





 Category: 

        Food & Natural Products    


Tags:


                # Wellness
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/tribes-india-mashroom-powder
TURMERIC POWDER 250 GMS,135.0,150.0,"TURMERIC POWDER 250 GMS
    




SKU: 1TORSPSUT00501



Share








â‚ą70.20


            â‚ą78.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą70.20
                            


                                â‚ą78.00
                            

/Pkt

-10%





 





Quantity













                                                                    (2
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









Bring the pure essence of the Himalayas to your kitchen with this premium Haldi (Turmeric) Powder. Sourced from the fertile lands of Uttarakhand, this turmeric is processed naturally to retain its vibrant color, earthy aroma, and high curcumin content. Whether used for culinary delight or its traditional medicinal properties, this powder ensures purity in every pinch. 









Specifications









Weight: 250 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care









                Store in a cool, dry place away from direct sunlight and moisture; keep tightly sealed after use.
            





  TURMERIC POWDER 250 GMS
                
Return


Not Applicable





 Category: 

        Food & Natural Products,    

        Spices    


Tags:


                Spices
                ,                                 
                Uttarakhand
                ,                                 
                VDVK
                ,                                 
                Bajpur
                ,                                 
                Food Item
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/turmeric-powder-250-gms
Red Rice (Bastar Food) OR :CG,152.1,169.0,"Dheki Rice HMT (Bastar Food) OR :CG :CG
    




SKU: 1TOROTHCG03268



Share








â‚ą74.70


            â‚ą83.00
        

(10% off)









Add to wishlist












Estimate Shipping Time:
5 Days




















Price





                                â‚ą74.70
                            


                                â‚ą83.00
                            

/pc

-10%





 





Quantity













                                                                    (0
                                    available)
                                                            






Total Price












 Add to cart
                    

 Buy Now
                    

 Out of Stock
                

 Notify Me
            














Product Features









Hand-Pounded (Dheki): Processed traditionally to retain bran, natural fiber, and essential nutrients.Satvik Quality: Pure, unadulterated rice suitable for everyday meals and special traditional dishes.Regional Authenticity: Sourced and packaged in Bastar, Chhattisgarh, supporting local agricultural practices. 









Specifications









Weight: 500 Grams 









Shipping









    This Product usually shipped in 3-4 business days.
    









Care















  Dheki Rice HMT (Bastar Food) OR :CG :CG
                
Return





View Policy





 Category: 

        Food & Natural Products,    

        Flour, Rice, Pulses    


Tags:


                Dheki rice
                ,                                 
                hand-pounded rice
                ,                                 
                traditional rice
                ,                                 
                satvik food
                ,                                 
                Bastar rice
                ,                                 
                unpolished rice
                ,                                 
                natural white rice
                ,                                 
                Chhattisgarh rice
                ,                                 
                healthy rice
                ,                                 
                daily use rice
                ,                                 
                artisanal rice
                ,                                 
                raw rice.
                







 Payment. We accept all major payment methods including Credit/Debit Cards, UPI, Net Banking, Wallets and Cash on Delivery (COD).
 Warranty. The Consumer Protection Act does not provide for the return of this product of proper quality..",https://tribesindia.com/product/red-rice-bastar-food-or-cg-g58jn-4
